;cuerpo;fecha;seccion;titulo
307;La producción del festival reveló el día y hora en que se publicará la esperada grilla. ¡A estar atentos!;16/11/2018;música;¿Cuándo se conocerá el lineup del Lollapalooza Argentina 2019?
308;La famosa cantante fue la encargada de anunciar a El Sol de México como el ganador en una de las categorías más importantes de los Grammy Latino.;16/11/2018;música;Thalía fue abucheada por culpa de Luis Miguel
309;El producto se encuentra en infracción “por carecer de autorizaciones de establecimiento y por estar falsamente rotulado”. ;16/11/2018;salud;La ANMAT prohibió la comercialización de una marca de chupetín
310;Hubo decepción en la sala tras el fallo dividido de la justicia. La familia de la nena asesinada apelará.;16/11/2018;policiales;Condenaron a 11 años de prisión al adolescente acusado por el crimen de Abril Bogado
311;"El maestro del pop art  británico de 81 años sucede así a Jeff Koons. Su cuadro más famoso, ""Retrato de un artista (Piscina con dos figuras )"", se vendió en una subasta en Nueva York.";16/11/2018;internacional;Pagaron US$ 90 millones por un cuadro de David Hockney y se convirtió en el artista vivo más cotizado
312;La percepción de los gustos tiene una parte hereditaria, aunque los comportamientos también influyen.;16/11/2018;salud;¿Te tomás un tecito o preferís un café? La genética tiene algo que ver
313;"No te podés perder estas dos ""tiradas"". ";16/11/2018;autos;VIDEO | Así es cómo un Tesla Model 3 vence a un Ford Mustang y a un Chevrolet Camaro en el cuarto de milla
314;El conductor respondió a los dichos de la ministra, que invitó a los porteños a irse de la ciudad durante el evento político que reunirá a líderes del mundo. ;16/11/2018;show;Marcelo Tinelli, indignado con Patricia Bullrich porque la ciudad estará imposible durante el G20
315;La encuesta es realizada por un importante sitio español. Ya votaron más de un millón de personas.;16/11/2018;deportes;Eligen a la mejor hinchada del mundo y Argentina tiene una representante dentro del top 10
316;Competirá contra la Honda CR-V y la Ford Kuga, entre otros modelos. ;16/11/2018;autos;Volkswagen Tharu: así es el SUV que tomará el lugar de la Suran en la fábrica de la Argentina
317;Los elementos serán utilizado para garantizar la seguridad de los principales presidentes del mundo. ;16/11/2018;política;Blindados todoterreno, 30 motos y trajes especiales: el material que China donó a la Argentina de cara al G20
318;Estuvieron siete días seguidos escuchando los temas de estos artistas latinos a todo volumen.;16/11/2018;música;Presos mexicanos denunciaron que fueron torturados con canciones de Maluma y Bad Bunny
319;La actriz espera su segundo hijo junto a Fernando Sieling. ;16/11/2018;show;Marcela Kloosterboer mostró la primera foto de su pancita
320;"En una nueva audiencia, el homicida relató los hechos de aquel 8 de diciembre de 1980. ""Ahora sé lo que es sentir vergüenza"", reconoció.";16/11/2018;música;Mark Chapman aportó un dato clave en el asesinato de John Lennon
321;La hija del expresidente contó también que su papá está muy triste y que se enteró de todo por los medios. ;16/11/2018;show;"""Máximo está bien, tranquilo, pero no sabe la gravedad del cuadro"", dijo Zulemita Menem"
